datetime,open,high,low,close,volume,Volume MA
2011-06-30 23:00:00,74.445,74.561,74.413,74.413,,
2011-07-01 03:00:00,74.412,74.458,74.195,74.251,,
2011-07-01 07:00:00,74.256,74.533,74.227,74.47,,
2011-07-01 11:00:00,74.473,74.693,74.359,74.482,,
2011-07-01 15:00:00,74.486,74.486,74.308,74.349,,
2011-07-01 19:00:00,74.348,74.355,74.262,74.298,,
2011-07-03 21:00:00,74.285,74.288,74.111,74.188,,
2011-07-04 01:00:00,74.186,74.262,74.133,74.178,,
2011-07-04 05:00:00,74.182,74.326,74.14,74.229,,
2011-07-04 09:00:00,74.232,74.4,74.19,74.369,,
2011-07-04 13:00:00,74.361,74.395,74.253,74.275,,
2011-07-04 17:00:00,74.277,74.305,74.214,74.256,,
2011-07-04 21:00:00,74.257,74.273,74.222,74.244,,
2011-07-04 23:00:00,74.228,74.546,74.207,74.473,,
2011-07-05 03:00:00,74.475,74.577,74.449,74.553,,
2011-07-05 07:00:00,74.549,74.606,74.397,74.476,,
2011-07-05 11:00:00,74.472,74.544,74.381,74.514,,
2011-07-05 15:00:00,74.512,74.721,74.426,74.691,,
2011-07-05 19:00:00,74.694,74.741,74.612,74.636,,
2011-07-05 23:00:00,74.613,74.662,74.473,74.505,,
2011-07-06 03:00:00,74.504,74.653,74.459,74.637,,
2011-07-06 07:00:00,74.638,74.992,74.633,74.986,,
2011-07-06 11:00:00,74.982,75.182,74.945,75.084,,
2011-07-06 15:00:00,75.085,75.134,74.959,75.122,,
2011-07-06 19:00:00,75.117,75.12,75.0,75.032,,
2011-07-06 23:00:00,74.982,75.051,74.911,74.946,,
2011-07-07 03:00:00,74.938,75.093,74.927,74.946,,
2011-07-07 07:00:00,74.951,75.182,74.945,75.129,,
2011-07-07 11:00:00,75.14,75.407,74.859,74.871,,
2011-07-07 15:00:00,74.875,74.997,74.848,74.957,,
2011-07-07 19:00:00,74.953,74.97,74.887,74.909,,
2011-07-07 23:00:00,74.909,74.978,74.875,74.948,,
2011-07-08 03:00:00,74.953,75.021,74.904,74.976,,
2011-07-08 07:00:00,74.969,75.395,74.945,75.238,,
2011-07-08 11:00:00,75.227,75.416,74.843,75.16,,
2011-07-08 15:00:00,75.164,75.33,75.093,75.179,,
2011-07-08 19:00:00,75.182,75.182,75.081,75.082,,
2011-07-10 21:00:00,75.309,75.401,75.231,75.354,,
2011-07-11 01:00:00,75.355,75.451,75.287,75.419,,
2011-07-11 05:00:00,75.418,75.671,75.369,75.667,,
2011-07-11 09:00:00,75.669,75.987,75.624,75.87,,
2011-07-11 13:00:00,75.878,76.156,75.799,75.932,,
2011-07-11 17:00:00,75.929,76.07,75.922,75.993,,
2011-07-11 21:00:00,75.996,76.005,75.891,75.903,,
2011-07-11 23:00:00,75.952,76.37,75.951,76.315,,
2011-07-12 03:00:00,76.312,76.408,76.203,76.345,,
2011-07-12 07:00:00,76.341,76.719,76.2,76.367,,
2011-07-12 11:00:00,76.364,76.448,75.972,76.027,,
2011-07-12 15:00:00,76.03,76.093,75.703,75.809,,
2011-07-12 19:00:00,75.817,76.095,75.774,76.076,,
