datetime,open,high,low,close,volume,Volume MA
2018-04-23 02:00:00,1334.489,1335.066,1332.7,1334.4,80652.0,167054.0
2018-04-23 06:00:00,1334.36,1335.5,1326.9,1328.4,206815.0,172656.85
2018-04-23 10:00:00,1328.425,1329.19,1323.1,1324.42,221957.0,179671.75
2018-04-23 14:00:00,1324.48,1324.865,1321.8,1323.286,220685.0,179600.55
2018-04-23 18:00:00,1323.296,1325.4,1322.7,1324.5,91243.0,170026.4
2018-04-23 22:00:00,1324.35,1326.943,1321.93,1326.343,108936.0,160980.5
2018-04-24 02:00:00,1326.342,1328.088,1325.7,1326.71,85029.0,160623.35
2018-04-24 06:00:00,1326.79,1328.515,1324.3,1326.83,169756.0,164130.7
2018-04-24 10:00:00,1326.88,1330.2,1323.1,1329.54,227428.0,169966.05
2018-04-24 14:00:00,1329.561,1332.487,1327.3,1332.03,290254.0,173497.3
2018-04-24 18:00:00,1331.99,1332.65,1329.91,1330.2,102393.0,164027.25
2018-04-24 22:00:00,1329.38,1332.056,1328.1,1329.036,91824.0,152736.8
2018-04-25 02:00:00,1328.92,1329.436,1325.3,1326.78,90636.0,152420.35
2018-04-25 06:00:00,1326.7,1326.836,1322.9,1324.09,169723.0,155684.35
2018-04-25 10:00:00,1324.07,1324.789,1318.6,1321.8,247216.0,163720.9
2018-04-25 14:00:00,1321.81,1323.416,1319.0,1321.77,230865.0,165527.75
2018-04-25 18:00:00,1321.8,1323.926,1321.0,1323.1,76203.0,157800.7
2018-04-25 22:00:00,1322.78,1324.036,1320.8,1323.948,95772.0,149735.55
2018-04-26 02:00:00,1323.946,1324.635,1322.8,1324.406,73116.0,149758.3
2018-04-26 06:00:00,1324.33,1326.6,1321.2,1323.019,190114.0,153530.85
2018-04-26 10:00:00,1322.94,1325.8,1321.41,1322.43,291239.0,164060.2
2018-04-26 14:00:00,1322.44,1322.666,1315.0,1317.2,263311.0,166885.0
2018-04-26 18:00:00,1317.318,1318.0,1315.92,1316.9,73105.0,159442.4
2018-04-26 22:00:00,1316.7,1318.239,1315.3,1317.9,76159.0,152216.1
2018-04-27 02:00:00,1318.01,1318.225,1316.0,1317.33,75142.0,151411.05
2018-04-27 06:00:00,1317.46,1319.116,1315.21,1317.89,184172.0,155172.85
2018-04-27 10:00:00,1317.96,1323.459,1316.71,1321.416,260538.0,163948.3
2018-04-27 14:00:00,1321.38,1323.9,1320.2,1322.6,212176.0,166069.3
2018-04-27 18:00:00,1322.59,1325.2,1321.9,1323.09,71492.0,158272.5
2018-04-29 22:00:00,1322.4,1324.899,1321.99,1324.5,56204.0,146570.0
2018-04-30 02:00:00,1324.569,1324.849,1320.7,1321.7,59036.0,144402.15
2018-04-30 06:00:00,1321.77,1322.05,1315.6,1317.4,166510.0,148136.45
2018-04-30 10:00:00,1317.399,1317.57,1310.05,1310.9,192031.0,153206.2
2018-04-30 14:00:00,1310.76,1320.5,1310.73,1317.76,270976.0,158268.85
2018-04-30 18:00:00,1317.846,1319.316,1314.07,1315.5,86909.0,150253.5
2018-04-30 22:00:00,1314.84,1316.336,1312.1,1312.47,66577.0,142039.1
2018-05-01 02:00:00,1312.54,1313.076,1311.0,1312.0,59312.0,141194.55
2018-05-01 06:00:00,1312.061,1312.679,1307.64,1309.5,131775.0,142994.7
2018-05-01 10:00:00,1309.462,1310.32,1305.3,1305.71,185986.0,148638.2
