datetime,open,high,low,close
2021-12-01 20:15:00,96.067,96.085,96.053,96.078
2021-12-01 20:30:00,96.077,96.103,96.076,96.098
2021-12-01 20:45:00,96.101,96.118,96.072,96.097
2021-12-01 21:00:00,96.097,96.1,96.06,96.076
2021-12-01 21:15:00,96.073,96.079,96.043,96.046
2021-12-01 21:30:00,96.051,96.052,96.028,96.037
2021-12-01 21:45:00,96.037,96.047,96.029,96.033
2021-12-01 22:00:00,96.036,96.042,96.014,96.033
2021-12-01 22:15:00,96.037,96.037,96.012,96.027
2021-12-01 22:30:00,96.03,96.031,96.01,96.015
2021-12-01 22:45:00,96.02,96.05,96.014,96.047
2021-12-01 23:00:00,96.049,96.05,96.034,96.038
2021-12-02 00:30:00,96.074,96.074,96.074,96.074
2021-12-02 00:45:00,96.068,96.083,96.063,96.082
2021-12-02 01:00:00,96.083,96.083,96.049,96.051
2021-12-02 01:15:00,96.055,96.058,96.008,96.023
2021-12-02 01:30:00,96.026,96.045,96.019,96.028
2021-12-02 01:45:00,96.032,96.037,95.995,95.996
2021-12-02 02:00:00,95.998,96.004,95.947,95.957
2021-12-02 02:15:00,95.961,95.961,95.926,95.926
2021-12-02 02:30:00,95.927,95.951,95.915,95.943
2021-12-02 02:45:00,95.946,95.959,95.937,95.952
2021-12-02 03:00:00,95.956,95.962,95.947,95.958
2021-12-02 03:15:00,95.956,95.961,95.937,95.961
2021-12-02 03:30:00,95.964,95.973,95.957,95.968
2021-12-02 03:45:00,95.968,95.977,95.962,95.975
2021-12-02 04:00:00,95.976,95.995,95.955,95.994
2021-12-02 04:15:00,95.996,96.024,95.987,96.017
2021-12-02 04:30:00,96.021,96.021,95.999,96.011
2021-12-02 04:45:00,96.009,96.034,96.005,96.032
2021-12-02 05:00:00,96.035,96.051,96.029,96.041
2021-12-02 05:15:00,96.041,96.067,96.04,96.061
2021-12-02 05:30:00,96.062,96.073,96.053,96.068
2021-12-02 05:45:00,96.071,96.071,96.047,96.058
2021-12-02 06:00:00,96.061,96.061,96.024,96.029
2021-12-02 06:15:00,96.032,96.045,96.012,96.014
2021-12-02 06:30:00,96.018,96.02,96.0,96.011
2021-12-02 06:45:00,96.012,96.032,95.996,96.027
2021-12-02 07:00:00,96.032,96.058,96.024,96.053
2021-12-02 07:15:00,96.056,96.087,96.051,96.059
2021-12-02 07:30:00,96.063,96.105,96.027,96.105
2021-12-02 07:45:00,96.105,96.137,96.084,96.12
2021-12-02 08:00:00,96.124,96.124,96.065,96.107
2021-12-02 08:15:00,96.11,96.123,96.052,96.094
2021-12-02 08:30:00,96.097,96.101,96.03,96.031
2021-12-02 08:45:00,96.036,96.036,95.997,96.012
2021-12-02 09:00:00,96.015,96.041,96.009,96.035
2021-12-02 09:15:00,96.039,96.079,96.022,96.046
2021-12-02 09:30:00,96.048,96.067,96.032,96.048
2021-12-02 09:45:00,96.052,96.064,95.984,95.988
2021-12-02 10:00:00,95.99,95.995,95.961,95.973
2021-12-02 10:15:00,95.976,95.989,95.933,95.983
2021-12-02 10:30:00,95.988,95.988,95.939,95.968
2021-12-02 10:45:00,95.973,95.998,95.942,95.942
2021-12-02 11:00:00,95.942,95.946,95.899,95.906
2021-12-02 11:15:00,95.908,95.91,95.888,95.902
2021-12-02 11:30:00,95.902,95.902,95.851,95.86
2021-12-02 11:45:00,95.858,95.891,95.854,95.878
2021-12-02 12:00:00,95.878,95.924,95.877,95.923
2021-12-02 12:15:00,95.923,95.928,95.854,95.861
2021-12-02 12:30:00,95.864,95.879,95.841,95.843
2021-12-02 12:45:00,95.847,95.892,95.841,95.864
2021-12-02 13:00:00,95.867,95.891,95.827,95.884
2021-12-02 13:15:00,95.887,95.905,95.87,95.902
2021-12-02 13:30:00,95.837,95.945,95.834,95.917
2021-12-02 13:45:00,95.921,95.932,95.898,95.91
2021-12-02 14:00:00,95.914,95.929,95.889,95.924
2021-12-02 14:15:00,95.925,95.925,95.868,95.887
2021-12-02 14:30:00,95.89,95.894,95.848,95.861
2021-12-02 14:45:00,95.863,95.912,95.844,95.892
2021-12-02 15:00:00,95.895,95.913,95.877,95.903
2021-12-02 15:15:00,95.904,95.977,95.893,95.961
2021-12-02 15:30:00,95.965,95.992,95.95,95.975
2021-12-02 16:30:00,96.012,96.02,95.99,96.017
2021-12-02 16:45:00,96.02,96.08,96.016,96.076
2021-12-02 17:00:00,96.076,96.131,96.062,96.084
2021-12-02 17:15:00,96.087,96.162,96.075,96.158
2021-12-02 17:30:00,96.162,96.169,96.116,96.131
2021-12-02 17:45:00,96.134,96.14,96.111,96.126
2021-12-02 18:00:00,96.126,96.175,96.126,96.153
2021-12-02 18:15:00,96.157,96.165,96.142,96.146
2021-12-02 18:30:00,96.149,96.149,96.123,96.128
2021-12-02 18:45:00,96.131,96.144,96.115,96.118
2021-12-02 19:00:00,96.121,96.123,96.084,96.098
2021-12-02 19:15:00,96.102,96.104,96.084,96.103
2021-12-02 19:30:00,96.106,96.147,96.103,96.144
2021-12-02 19:45:00,96.144,96.168,96.143,96.156
2021-12-02 20:00:00,96.158,96.159,96.128,96.139
2021-12-02 20:15:00,96.142,96.147,96.115,96.121
2021-12-02 20:30:00,96.124,96.124,96.097,96.109
2021-12-02 20:45:00,96.109,96.146,96.104,96.144
2021-12-02 21:00:00,96.148,96.156,96.126,96.137
2021-12-02 21:15:00,96.141,96.148,96.132,96.132
2021-12-02 21:30:00,96.136,96.137,96.125,96.134
2021-12-02 21:45:00,96.134,96.137,96.125,96.127
2021-12-02 22:00:00,96.13,96.13,96.106,96.126
2021-12-02 22:15:00,96.128,96.132,96.12,96.128
2021-12-02 22:30:00,96.128,96.133,96.12,96.127
2021-12-02 22:45:00,96.131,96.134,96.122,96.126
2021-12-02 23:00:00,96.126,96.137,96.115,96.135
2021-12-03 00:45:00,96.117,96.14,96.115,96.137
2021-12-03 01:00:00,96.14,96.207,96.134,96.202
2021-12-03 01:15:00,96.205,96.211,96.175,96.192
2021-12-03 01:30:00,96.195,96.198,96.148,96.149
2021-12-03 01:45:00,96.154,96.154,96.127,96.152
2021-12-03 02:00:00,96.155,96.18,96.15,96.177
2021-12-03 02:15:00,96.181,96.187,96.164,96.182
2021-12-03 02:30:00,96.185,96.203,96.178,96.183
2021-12-03 02:45:00,96.186,96.189,96.175,96.182
2021-12-03 03:00:00,96.185,96.185,96.15,96.155
2021-12-03 03:15:00,96.155,96.163,96.141,96.155
2021-12-03 03:30:00,96.159,96.185,96.154,96.179
2021-12-03 03:45:00,96.178,96.199,96.176,96.192
2021-12-03 04:00:00,96.192,96.2,96.171,96.171
2021-12-03 04:15:00,96.174,96.175,96.153,96.159
2021-12-03 04:30:00,96.162,96.172,96.153,96.164
2021-12-03 04:45:00,96.167,96.185,96.161,96.169
